,tweet,label
2728,Kitna wait kervaoga,neutral
2273,c0mment scroll kar kar ke hairan hogaye hum,neutral
2178,Kya karte ho salman yr,neutral
718,Budha hai salman khan,negative
3258,Mujhe aap ki movie or bigg boss ka bhttt besabri se intezr hota hai,neutral
1848,Meri ma apko bhot yaad karti he bhai,posiitve
2696,Hi sallu baba,neutral
1843,OK main aap ki intzar karugi Bas aap sache Salman khan hai Toh Itna jarur batana aap kaisa hai.....:) aapko dekhne ko Dil chahta hai ???,neutral
804,kal lakshmi mata ki aarti hogi subha ke waqt namaste jii,posiitve
471,i sapourt u saloo bhai i hole u r bajrangi bhaijan it's going,posiitve
2946,Kyaaa sach me ye salman khan ki id he.........!!!!!!shayad fake he ye,posiitve
2624,Aik he q bar bar repeat karna b acha nhe lag raha,neutral
211,Modi ji aap jesa koi nhi dhanywad aap desh ki kitni sewa karte hai jese ak beta apni ma ko poojta hai,posiitve
1236,Yasmeen Khan. Dimag THIKANE lga kr comnt kr,negative
3171,Plz ply ply plz plz salman sir 1 reply,neutral
904,Koi bhi musalman is ki picture nahi dekhna,negative
1661,Hello hay salman brother ey kaya bola aapne h/ m bolo,neutral
2566,hlw sir kha ho baat kro na,neutral
1745,"Sir, Middel Class ki iteni postion kaha ki aap ke saath bat kar sake wo..driect... Salman Khan Sir.",neutral
822,bas bhai 24-25 ke lag rahe aap to .,posiitve
1169,selfie le lo bhai ke saath,neutral
3465,Logon ka to kaam hi hai afwah failana,negative
3137,Sana khan add karo mujhe,neutral
567,Salmaan bhai maine hay kaha tumne javab nhi diya,negative
1111,Mr. salman ajkal aap k setare gardish mai aapko sarf 8 hazar comment aate hai oh ho,posiitve
423,Desh chodo pahaley yeh media ko change Karo ... !! ?,neutral
851,Bilkul kab se net pe search kar rahe he aapke gaano k liye bajrangi bhaijaan. ..,neutral
2235,Juz in last 5 mints... 5000 comments and 10000 likes.. Itz juz awsum,neutral
68,nice pic modi ji,posiitve
1055,Koi mere se zyada bda sallu ka fan hai to to lagatar iss film k pahle show dekhega koi hai to add me,neutral
2631,bhai 1 reply asssalamalaikum,neutral
1636,Bhai love you love you love you love you love you,posiitve
1255,SULTAN ALI KHAN SE,neutral
921,i love u salman vai.i always like u vaijan.khuda hamesha apki saath rahega..,posiitve
2430,Sallu bhaai i am w8 4r bajrangi bhaijaan..,neutral
2433,salman bahi uar best,posiitve
613,Agar aap na media mein ya kha hoga ki musalmano ki bigar bajrangi bhaijaaan hit karunga then u are a foll,negative
2713,Plssssss avi jao ne sallu,neutral
556,Flop jaaigi movie teri....aehsan framosh..,negative
3241,Asalamwalaikum sallu bhai aap hai logo ke baato ko dil par nakko liyo chahay kuch bi ho jaye mai aap ke sath hu ok ur the great bhai great handsof 2 u luv u sallu bhai,posiitve
618,what loook bhai jaan,posiitve
149,aaj ke mahatma gandhi P.M.Modi jee modi jee me swami vivekanand ki chhavi bhi dikhtee hai,posiitve
3488,Okkk....bajrangi jaan,neutral
1531,Salman bas mjhe aapse ek ques poochna h bas or kuch,neutral
821,Rfta rfta dakho akh mari kadi h akh jisa lgi mera samna vo khda h i love you salman ji???????????,posiitve
636,"bhai kabhi to apne pas bhi to dekho , khudko bhul jaoge he he",posiitve
3085,Kiu baat karte hai? Kis chiz mai?,neutral
417,sarkar ko dub marna chahiye ki iss umar mein unhe kaam karna padta hai,negative
153,apne desh ki mahanta ko jitna bhi desh me charcha kiya jaya bhahut hi acha hai,posiitve
3014,Salman bhiya mujhe aap ki dabang three me ek chota sa roll de dena,posiitve
443,Salman bhai aapke nagpur bb k promotion aane ka intezar hai,neutral
1259,1 no bhau,posiitve
3801,Bhii jaan luv u,posiitve
2836,lagta hai aap bahut busy ho par please ek bar bata do dete sir,neutral
2369,Main apse milna chahta hun,neutral
